Duhaga Secondary School,70
Green Hill Academy School,120
Katuuso Community Secondary School,24
Kitara Secondary School,47
Light High School Seguku,50
Midland High School,130
Nabumali High School,120
Sir Tito Winyi Secondary School,46
Taibah International School,50
King James,200
Lango College,67
Rachelle Comprehensive School,58
St Katherine,63
St Paul's College Mbale,95
Aidan College,150
Chemwania High School,70
Gamatui Girls,19
Iganga High School,300
Iganga Secondary School,157
Kabuwoko Secondary School,50
Kako Senior Secondary School,80
Kakungulu Memorial School,220
Kapchorwa Secondary School,70
Mbale Comprehensive High School,250
Najjanankumbi Young Christian Secondary School,73
Our Lady of Africa Secondary School Namilyango,200
Sebei College Tegeres,76
St Andrew's Senior Secondary School,40
St John's Secondary School Wakitaka,100
St Mary's College Lugazi,300
Victoria High School,50
Wanyange Girls Secondary School,120
Kalinabiri Secondary School Ntinda,105
Kitebi Secondary School,250
Lubiri Senior Secondary School,700
Mackay Memorial College School,84
Sipi Secondary School,42
St Peter's Nsambya Secondary School,200
Tropical High School Nsambya,135
Africana High School,25
Alliance High School Soroti,32
Archbishop Kiwanuka Secondary School Kitovu,78
Asinge Secondary School,48
Asuret Parents Senior Secondary School,76
Atiri Secondary School,13
Balawoli Senior Secondary School,20
Bexhill High School,29
Bilal Islamic Secondary School Bwaise,56
Bright College Nawanende Secondary School,61
Bugiri High School,65
Bugulumbya Secondary School,15
Bukooli College Bugiri,138
Bukoyo Secondary School,210
Bukulula Secondary School,45
Busembatia Secondary School,14
Busiu Secondary School,48
Busoga College Mwiri,93
Busoga High School,54
Busoga Senior Secondary School,82
Buwunga Senior Secondary School,9
Buzaya Secondary School,15
Bweyogerere High School,28
Caltec Academy,126
Cardinal Nsubuga Secondary School Nyenga,65
Central View High School Mukono,30
Crane High School Soroti,86
Cross Roads Secondary School,65
Eastland High School,30
Equator College Lugazi,52
Excel High School Mbikko,25
Fairland High School,40
Fairmount High School,18
Forest Hill College,61
Global Skills Secondary School Nakulabye,20
Gloryland Christian College,22
Gloryland High School,30
Good Heart Secondary School,103
Green Hill College Bulopa,60
He Reigns Secondary School,15
Helping Hand Secondary School Tororo,10
Hillside Secondary School Kamuli,70
Holy Cross Lake View Secondary School,75
Hometek High School,3
Honest Hill Secondary School,85
Hope Community High School,45
Iganga Parents Secondary School,120
Iganga Progressive Secondary School,138
Iki-Iki High School,120
Iqra Secondary School Jinja,9
James Ochola Memorial Secondary School,15
Jinja Parents School Kagoma,11
Jinja Progressive Secondary School,527
Joy Dominion Academy Musita,24
Kabowa High School,200
Kabukunge Muslim Secondary School,20
Kakira High School,73
Kakoola High School,52
Kampala Apostolic Secondary School,48
Kampala Citizens College School,50
Kampala High School,82
Kampala Secondary School,180
Kamuda Parents Secondary School,20
Kamuli College,37
Kamuli Girls College,20
Kamuli Progressive College,100
Kapchorwa Parents School,35
Kasambira High School,11
Katerema Secondary School,23
Katikamu SDA Secondary School,50
Katwe Noor Secondary School,24
Kawempe Muslim Secondary School,15
Kawempe Royal College,80
Kibuli Secondary School,260
Kigulu College,48
Kiira College Butiki,185
Kijjabwemi Secondary School,96
Kingstone High School,20
Kiribaki Secondary School,30
